task_key,task_id,experiment_id,independent_measure_pair,dependent_measure,category,n,n0,n1,true_value_t0,true_value_t1,true_ate,true_ate_normalized,y_rate
PSA55VC||Multiple Choice vs. Fill-In||posttest,10,PSA55VC,Multiple Choice vs. Fill-In,posttest,Multiple Choice,1721,865,856,0.21271676300578035,0.24299065420560748,0.030273891199827124,0.10224269183172471,0.22777454968041835
PSA59TP||3 PTM vs. 4 PTM||posttest,11,PSA59TP,3 PTM vs. 4 PTM,posttest,3 PTM,897,451,446,0.6208425720620843,0.6322869955156951,0.011444423453610852,0.02102564353086512,0.6265328874024526
PSA59TP||3 PTM vs. 5 PTM||posttest,12,PSA59TP,3 PTM vs. 5 PTM,posttest,3 PTM,874,451,423,0.6208425720620843,0.6170212765957447,-0.0038212954663395804,-0.013368296515839512,0.6189931350114416
PSA59TP||4 PTM vs. 5 PTM||posttest,13,PSA59TP,4 PTM vs. 5 PTM,posttest,4 PTM,869,446,423,0.6322869955156951,0.6170212765957447,-0.015265718919950433,-0.03439394004670463,0.6248561565017261
PSA59TP||No Choice vs. Choice||posttest,14,PSA59TP,No Choice vs. Choice,posttest,No Choice,2563,1320,1243,0.6234848484848485,0.6460176991150443,0.022532850630195722,0.047012831778514744,0.6344127975029262
PSA59TP||Problems Required for Mastery_No_Choice vs. Problems Required for Mastery_Choice||posttest,15,PSA59TP,Problems Required for Mastery_No_Choice vs. Problems Required for Mastery_Choice,posttest,Problems Required for Mastery,2563,1320,1243,0.6234848484848485,0.6460176991150443,0.022532850630195722,0.047012831778514744,0.6344127975029262
PSA59TQ||Non-Motivational vs. Motivational||posttest,16,PSA59TQ,Non-Motivational vs. Motivational,posttest,Non-Motivational,1781,896,885,0.6752232142857143,0.6971751412429379,0.02195192695722359,0.05944495383430176,0.6861313868613139
PSA59VC||Non-Adaptive vs. Adaptive||posttest,17,PSA59VC,Non-Adaptive vs. Adaptive,posttest,Non-Adaptive,2099,1037,1062,0.6152362584378014,0.5875706214689266,-0.027665636968874807,-0.043698569565522496,0.6012386850881372
PSA7GUA||Non-Motivational vs. Motivational||posttest,18,PSA7GUA,Non-Motivational vs. Motivational,posttest,Non-Motivational,1755,857,898,0.44457409568261375,0.4599109131403118,0.015336817457698049,0.014310437725166228,0.45242165242165244
PSA98J7||No Choice vs. Choice||posttest,19,PSA98J7,No Choice vs. Choice,posttest,No Choice,2484,1237,1247,0.6273241713823767,0.615878107457899,-0.011446063924477778,-0.009575273180313999,0.6215780998389694
PSA98J7||Text Color_No_Choice vs. Text Color_Choice||posttest,20,PSA98J7,Text Color_No_Choice vs. Text Color_Choice,posttest,Text Color,2484,1237,1247,0.6273241713823767,0.615878107457899,-0.011446063924477778,-0.009575273180313999,0.6215780998389694
PSA9XWV||Non-Motivational vs. Motivational||posttest,21,PSA9XWV,Non-Motivational vs. Motivational,posttest,Non-Motivational,531,175,356,0.49142857142857144,0.601123595505618,0.10969502407704657,0.20436853663823057,0.5649717514124294
PSAGF4||No Feedback vs. Common Wrong Answer Feedback||problems to mastery,22,PSAGF4,No Feedback vs. Common Wrong Answer Feedback,problems to mastery,No Feedback,1758,909,849,0.4752475247524752,0.502944640753828,0.02769711600135283,-0.008534036792840797,0.48862343572241185
PSAH9CV||Non-Motivational vs. Motivational||problems to mastery,23,PSAH9CV,Non-Motivational vs. Motivational,problems to mastery,Non-Motivational,190,89,101,0.4943820224719101,0.45544554455445546,-0.03893647791745464,-0.016153348109879437,0.47368421052631576
PSAHQV||No Feedback vs. Common Wrong Answer Feedback||problems to mastery,24,PSAHQV,No Feedback vs. Common Wrong Answer Feedback,problems to mastery,No Feedback,5288,2633,2655,0.5708317508545385,0.5536723163841808,-0.017159434470357726,-0.06009871324072168,0.5622163388804842
PSAKUSU||Non-Motivational vs. Motivational||problems to mastery,25,PSAKUSU,Non-Motivational vs. Motivational,problems to mastery,Non-Motivational,990,308,682,0.5454545454545454,0.5542521994134897,0.008797653958944274,0.05569628493214062,0.5515151515151515
PSAR5JG||Answer Only vs. Scaffolding||problem set correctness,26,PSAR5JG,Answer Only vs. Scaffolding,problem set correctness,Answer Only,358,119,239,0.5210084033613446,0.4811715481171548,-0.039836855244189784,-0.05615276646513871,0.49441340782122906
PSAR9Y9||Non-Adaptive vs. Adaptive||problems to mastery,27,PSAR9Y9,Non-Adaptive vs. Adaptive,problems to mastery,Non-Adaptive,1271,639,632,0.6854460093896714,0.740506329113924,0.05506031972425263,0.579140900384558,0.7128245476003147
PSARZX2||No Choice vs. Choice||problem set correctness,28,PSARZX2,No Choice vs. Choice,problem set correctness,No Choice,410,197,213,0.6294416243654822,0.7652582159624414,0.13581659159695914,0.17924295348136993,0.7
PSARZX2||Problem Difficulty_No_Choice vs. Problem Difficulty_Choice||problem set correctness,29,PSARZX2,Problem Difficulty_No_Choice vs. Problem Difficulty_Choice,problem set correctness,Problem Difficulty,410,197,213,0.6294416243654822,0.7652582159624414,0.13581659159695914,0.17924295348136993,0.7
PSASA4B||Non-Adaptive vs. Adaptive||posttest,30,PSASA4B,Non-Adaptive vs. Adaptive,posttest,Non-Adaptive,394,200,194,0.57,0.6391752577319587,0.06917525773195876,0.08102590030919715,0.6040609137055838
PSASDZY||Non-Adaptive vs. Adaptive||problems to mastery,31,PSASDZY,Non-Adaptive vs. Adaptive,problems to mastery,Non-Adaptive,489,268,221,0.7611940298507462,0.5701357466063348,-0.19105828324441143,-0.19090685537296304,0.6748466257668712
PSASRKH||Answer Only vs. Hint||problems to mastery,32,PSASRKH,Answer Only vs. Hint,problems to mastery,Answer Only,233,103,130,0.3300970873786408,0.4307692307692308,0.10067214339059,0.2247861815124283,0.38626609442060084
PSASRKH||Answer Only vs. Scaffolding||problems to mastery,33,PSASRKH,Answer Only vs. Scaffolding,problems to mastery,Answer Only,242,103,139,0.3300970873786408,0.5827338129496403,0.25263672557099953,0.5898675417160046,0.47520661157024796
PSATNB2||Answer Only vs. Scaffolding||problems to mastery,34,PSATNB2,Answer Only vs. Scaffolding,problems to mastery,Answer Only,685,337,348,0.3887240356083086,0.34770114942528735,-0.041022886183021245,-0.006065044666299868,0.3678832116788321
PSATNB2||Answer Only vs. Video Scaffolding||problems to mastery,35,PSATNB2,Answer Only vs. Video Scaffolding,problems to mastery,Answer Only,698,337,361,0.3887240356083086,0.5152354570637119,0.12651142145540328,0.31982386712315525,0.45415472779369626
PSATNB2||Scaffolding vs. Video Scaffolding||problems to mastery,36,PSATNB2,Scaffolding vs. Video Scaffolding,problems to mastery,Scaffolding,709,348,361,0.34770114942528735,0.5152354570637119,0.16753430763842453,0.3258889117894551,0.4330042313117066
PSATNB2||Text vs. Video||problems to mastery,37,PSATNB2,Text vs. Video,problems to mastery,Text,709,348,361,0.34770114942528735,0.5152354570637119,0.16753430763842453,0.3258889117894551,0.4330042313117066
PSATNCQ||Answer Only vs. Hint||problems to mastery,38,PSATNCQ,Answer Only vs. Hint,problems to mastery,Answer Only,130,64,66,0.453125,0.4090909090909091,-0.044034090909090884,-0.04412154962678588,0.4307692307692308
PSATNCQ||Answer Only vs. Scaffolding||problems to mastery,39,PSATNCQ,Answer Only vs. Scaffolding,problems to mastery,Answer Only,122,64,58,0.453125,0.3793103448275862,-0.07381465517241381,0.00019397477979800522,0.4180327868852459
PSATZEJ||Hint vs. Video Hint||problems to mastery,40,PSATZEJ,Hint vs. Video Hint,problems to mastery,Hint,1056,521,535,0.6391554702495201,0.6392523364485981,9.686619907800509e-05,0.1209636906691319,0.6392045454545454
PSATZEJ||No Choice vs. Choice||problems to mastery,41,PSATZEJ,No Choice vs. Choice,problems to mastery,No Choice,2113,1056,1057,0.6392045454545454,0.6338694418164617,-0.00533510363808376,-0.033499092135737804,0.6365357311878845
PSATZEJ||Text vs. Video||problems to mastery,42,PSATZEJ,Text vs. Video,problems to mastery,Text,1056,521,535,0.6391554702495201,0.6392523364485981,9.686619907800509e-05,0.1209636906691319,0.6392045454545454
PSATZEJ||Video or Text_No_Choice vs. Video or Text_Choice||problems to mastery,43,PSATZEJ,Video or Text_No_Choice vs. Video or Text_Choice,problems to mastery,Video or Text,2113,1056,1057,0.6392045454545454,0.6338694418164617,-0.00533510363808376,-0.033499092135737804,0.6365357311878845
PSAU4JD||No Choice vs. Choice||problem set correctness,44,PSAU4JD,No Choice vs. Choice,problem set correctness,No Choice,550,272,278,0.4007352941176471,0.45323741007194246,0.05250211595429538,0.09612677024733736,0.42727272727272725
PSAU4JD||Problem Difficulty_No_Choice vs. Problem Difficulty_Choice||problem set correctness,45,PSAU4JD,Problem Difficulty_No_Choice vs. Problem Difficulty_Choice,problem set correctness,Problem Difficulty,550,272,278,0.4007352941176471,0.45323741007194246,0.05250211595429538,0.09612677024733736,0.42727272727272725
PSAU6Y4||Answer Only vs. Example||problems to mastery,46,PSAU6Y4,Answer Only vs. Example,problems to mastery,Answer Only,177,100,77,0.61,0.7142857142857143,0.10428571428571431,0.30709375361654956,0.655367231638418
PSAU6Y4||Answer Only vs. Hint||problems to mastery,47,PSAU6Y4,Answer Only vs. Hint,problems to mastery,Answer Only,194,100,94,0.61,0.7021276595744681,0.09212765957446811,0.11591633884576266,0.654639175257732
PSAU85Y||Answer Only vs. Example||problems to mastery,48,PSAU85Y,Answer Only vs. Example,problems to mastery,Answer Only,218,119,99,0.5210084033613446,0.6666666666666666,0.14565826330532206,0.33568894050592757,0.5871559633027523
PSAU85Y||Answer Only vs. Scaffolding||problems to mastery,49,PSAU85Y,Answer Only vs. Scaffolding,problems to mastery,Answer Only,229,119,110,0.5210084033613446,0.5818181818181818,0.060809778456837216,0.2529305194352846,0.5502183406113537
PSAU88D||Answer Only vs. Hint||problems to mastery,50,PSAU88D,Answer Only vs. Hint,problems to mastery,Answer Only,261,125,136,0.384,0.45588235294117646,0.07188235294117645,0.28924115875913864,0.421455938697318
PSAU88D||Answer Only vs. Scaffolding||problems to mastery,51,PSAU88D,Answer Only vs. Scaffolding,problems to mastery,Answer Only,285,125,160,0.384,0.525,0.14100000000000001,0.39357136200834153,0.4631578947368421
PSAU88D||Answer Only vs. Video Scaffolding||problems to mastery,52,PSAU88D,Answer Only vs. Video Scaffolding,problems to mastery,Answer Only,263,125,138,0.384,0.5072463768115942,0.12324637681159423,0.28316069374470054,0.44866920152091255
PSAU88D||Scaffolding vs. Video Scaffolding||problems to mastery,53,PSAU88D,Scaffolding vs. Video Scaffolding,problems to mastery,Scaffolding,298,160,138,0.525,0.5072463768115942,-0.017753623188405787,-0.11041066826364099,0.5167785234899329
PSAU88D||Text vs. Video||problems to mastery,54,PSAU88D,Text vs. Video,problems to mastery,Text,298,160,138,0.525,0.5072463768115942,-0.017753623188405787,-0.11041066826364099,0.5167785234899329
PSAUK57||Answer Only vs. Example||problems to mastery,55,PSAUK57,Answer Only vs. Example,problems to mastery,Answer Only,370,189,181,0.31216931216931215,0.40331491712707185,0.0911456049577597,0.12490834808889548,0.3567567567567568
PSAUK57||Answer Only vs. Hint||problems to mastery,56,PSAUK57,Answer Only vs. Hint,problems to mastery,Answer Only,374,189,185,0.31216931216931215,0.40540540540540543,0.09323609323609328,0.10467453531174695,0.3582887700534759
PSAUK57||Answer Only vs. Video Example||problems to mastery,57,PSAUK57,Answer Only vs. Video Example,problems to mastery,Answer Only,366,189,177,0.31216931216931215,0.4632768361581921,0.15110752398887994,0.24987137755096664,0.38524590163934425
PSAUK57||Example vs. Video Example||problems to mastery,58,PSAUK57,Example vs. Video Example,problems to mastery,Example,358,181,177,0.40331491712707185,0.4632768361581921,0.05996191903112025,0.12496302946207116,0.4329608938547486
PSAUK57||Text vs. Video||problems to mastery,59,PSAUK57,Text vs. Video,problems to mastery,Text,358,181,177,0.40331491712707185,0.4632768361581921,0.05996191903112025,0.12496302946207116,0.4329608938547486
PSAUKPM||Non-Adaptive vs. Adaptive||problems to mastery,60,PSAUKPM,Non-Adaptive vs. Adaptive,problems to mastery,Non-Adaptive,368,172,196,0.5465116279069767,0.3622448979591837,-0.18426672994779303,-0.42723715516741656,0.4483695652173913
PSAUTWT||2 PTM vs. 3 PTM||completion,61,PSAUTWT,2 PTM vs. 3 PTM,completion,2 PTM,355,175,180,0.9657142857142857,0.8777777777777778,-0.08793650793650798,-0.33081579283706275,0.9211267605633803
PSAUTWT||2 PTM vs. 4 PTM||completion,62,PSAUTWT,2 PTM vs. 4 PTM,completion,2 PTM,325,175,150,0.9657142857142857,0.92,-0.04571428571428571,-0.17197644104164997,0.9446153846153846
PSAUTWT||3 PTM vs. 4 PTM||completion,63,PSAUTWT,3 PTM vs. 4 PTM,completion,3 PTM,330,180,150,0.8777777777777778,0.92,0.04222222222222227,0.1588393517954128,0.896969696969697
PSAUTWT||No Choice vs. Choice||completion,64,PSAUTWT,No Choice vs. Choice,completion,No Choice,1013,505,508,0.9207920792079208,0.9271653543307087,0.006373275122787847,0.023976163168045017,0.9239881539980257
PSAUTWT||Problems Required for Mastery_No_Choice vs. Problems Required for Mastery_Choice||completion,65,PSAUTWT,Problems Required for Mastery_No_Choice vs. Problems Required for Mastery_Choice,completion,Problems Required for Mastery,1013,505,508,0.9207920792079208,0.9271653543307087,0.006373275122787847,0.023976163168045017,0.9239881539980257
PSAUTWU||No Choice vs. Choice||problem set correctness,66,PSAUTWU,No Choice vs. Choice,problem set correctness,No Choice,1008,518,490,0.6447876447876448,0.6306122448979592,-0.014175399889685636,-0.01549373284784654,0.6378968253968254
PSAUTWU||Problem Difficulty_No_Choice vs. Problem Difficulty_Choice||problem set correctness,67,PSAUTWU,Problem Difficulty_No_Choice vs. Problem Difficulty_Choice,problem set correctness,Problem Difficulty,1008,518,490,0.6447876447876448,0.6306122448979592,-0.014175399889685636,-0.01549373284784654,0.6378968253968254
PSAUUKY||No Choice vs. Choice||problem set correctness,68,PSAUUKY,No Choice vs. Choice,problem set correctness,No Choice,1500,712,788,0.46629213483146065,0.4784263959390863,0.012134261107625666,-0.005422585789251332,0.4726666666666667
PSAUUKY||Problem Difficulty_No_Choice vs. Problem Difficulty_Choice||problem set correctness,69,PSAUUKY,Problem Difficulty_No_Choice vs. Problem Difficulty_Choice,problem set correctness,Problem Difficulty,1500,712,788,0.46629213483146065,0.4784263959390863,0.012134261107625666,-0.005422585789251332,0.4726666666666667
PSAV89B||Non-Motivational vs. Motivational||problems to mastery,70,PSAV89B,Non-Motivational vs. Motivational,problems to mastery,Non-Motivational,1722,570,1152,0.6350877192982456,0.5069444444444444,-0.12814327485380117,-0.4880488171953593,0.5493612078977933
PSAVTMK||2 PTM vs. 3 PTM||posttest,71,PSAVTMK,2 PTM vs. 3 PTM,posttest,2 PTM,646,334,312,0.46407185628742514,0.4358974358974359,-0.02817442038998924,-0.07444189825361922,0.4504643962848297
PSAVTMK||2 PTM vs. 4 PTM||posttest,72,PSAVTMK,2 PTM vs. 4 PTM,posttest,2 PTM,642,334,308,0.46407185628742514,0.37337662337662336,-0.09069523291080178,-0.16546665376230613,0.4205607476635514
PSAVTMK||2 PTM vs. 5 PTM||posttest,73,PSAVTMK,2 PTM vs. 5 PTM,posttest,2 PTM,655,334,321,0.46407185628742514,0.35202492211838005,-0.1120469341690451,-0.22146984726368807,0.40916030534351144
PSAVTMK||3 PTM vs. 4 PTM||posttest,74,PSAVTMK,3 PTM vs. 4 PTM,posttest,3 PTM,620,312,308,0.4358974358974359,0.37337662337662336,-0.06252081252081254,-0.09102475550868688,0.40483870967741936
PSAVTMK||3 PTM vs. 5 PTM||posttest,75,PSAVTMK,3 PTM vs. 5 PTM,posttest,3 PTM,633,312,321,0.4358974358974359,0.35202492211838005,-0.08387251377905586,-0.14702794901006885,0.3933649289099526
PSAVTMK||4 PTM vs. 5 PTM||posttest,76,PSAVTMK,4 PTM vs. 5 PTM,posttest,4 PTM,629,308,321,0.37337662337662336,0.35202492211838005,-0.021351701258243316,-0.056003193501381957,0.3624801271860095
PSAWHF4||No Choice vs. Choice||problems to mastery,77,PSAWHF4,No Choice vs. Choice,problems to mastery,No Choice,1148,595,553,0.5142857142857142,0.546112115732369,0.03182640144665472,0.03208505393205967,0.5296167247386759
PSAWHF4||Video or Text_No_Choice vs. Video or Text_Choice||problems to mastery,78,PSAWHF4,Video or Text_No_Choice vs. Video or Text_Choice,problems to mastery,Video or Text,1148,595,553,0.5142857142857142,0.546112115732369,0.03182640144665472,0.03208505393205967,0.5296167247386759
PSAWU6Z||Non-Motivational vs. Motivational||problems to mastery,79,PSAWU6Z,Non-Motivational vs. Motivational,problems to mastery,Non-Motivational,956,341,615,0.5483870967741935,0.4959349593495935,-0.05245213742460003,-0.4072956770504015,0.5146443514644351
PSAZGQM||2 PTM vs. 3 PTM||posttest,80,PSAZGQM,2 PTM vs. 3 PTM,posttest,2 PTM,166,94,72,0.7553191489361702,0.7777777777777778,0.022458628841607542,0.05230434491023735,0.7650602409638554
PSAZGQM||2 PTM vs. 4 PTM||posttest,81,PSAZGQM,2 PTM vs. 4 PTM,posttest,2 PTM,178,94,84,0.7553191489361702,0.7619047619047619,0.006585612968591614,0.015337364296986917,0.7584269662921348
PSAZGQM||2 PTM vs. 5 PTM||posttest,82,PSAZGQM,2 PTM vs. 5 PTM,posttest,2 PTM,173,94,79,0.7553191489361702,0.7341772151898734,-0.021141933746296804,-0.04923786766033672,0.7456647398843931
PSAZGQM||3 PTM vs. 4 PTM||posttest,83,PSAZGQM,3 PTM vs. 4 PTM,posttest,3 PTM,156,72,84,0.7777777777777778,0.7619047619047619,-0.015873015873015928,-0.03696698061325044,0.7692307692307693
PSAZGQM||3 PTM vs. 5 PTM||posttest,84,PSAZGQM,3 PTM vs. 5 PTM,posttest,3 PTM,151,72,79,0.7777777777777778,0.7341772151898734,-0.043600562587904346,-0.10154221257057408,0.7549668874172185
PSAZGQM||4 PTM vs. 5 PTM||posttest,85,PSAZGQM,4 PTM vs. 5 PTM,posttest,4 PTM,163,84,79,0.7619047619047619,0.7341772151898734,-0.027727546714888418,-0.06457523195732363,0.7484662576687117
