task_key,seed,n_full,n_biased,n0_biased,n1_biased,retention
PSA25TA||No Emotion vs. Emotion||posttest,43,841,436,112,324,0.5184304399524375
PSA29FC||No Emotion vs. Emotion||posttest,43,370,192,38,154,0.518918918918919
PSA2KMP||Non-Adaptive vs. Adaptive||posttest,43,1982,1067,580,487,0.5383451059535822
PSA2KMQ||Non-Adaptive vs. Adaptive||posttest,43,356,185,89,96,0.5196629213483146
PSA2KNM||Non-Motivational vs. Motivational||posttest,43,1433,757,251,506,0.5282623866015352
PSA2KNP||Non-Motivational vs. Motivational||posttest,43,397,191,65,126,0.4811083123425693
PSA2KNR||Non-Motivational vs. Motivational||posttest,43,2033,1095,566,529,0.5386128873585834
PSA2KPV||Non-Adaptive vs. Adaptive||posttest,43,749,405,172,233,0.540720961281709
PSA2KQB||Non-Motivational vs. Motivational||posttest,43,319,169,75,94,0.5297805642633229
PSA52JK||Multiple Choice vs. Fill-In||posttest,43,2336,1224,645,579,0.523972602739726
PSA55VC||Multiple Choice vs. Fill-In||posttest,43,1721,900,474,426,0.5229517722254503
PSA59TP||3 PTM vs. 4 PTM||posttest,43,897,462,226,236,0.5150501672240803
PSA59TP||3 PTM vs. 5 PTM||posttest,43,874,443,240,203,0.5068649885583524
PSA59TP||4 PTM vs. 5 PTM||posttest,43,869,470,239,231,0.5408515535097813
PSA59TP||No Choice vs. Choice||posttest,43,2563,1388,720,668,0.5415528677331253
PSA59TP||Problems Required for Mastery_No_Choice vs. Problems Required for Mastery_Choice||posttest,43,2563,1368,722,646,0.5337495122902848
PSA59TQ||Non-Motivational vs. Motivational||posttest,43,1781,930,466,464,0.5221785513756316
PSA59VC||Non-Adaptive vs. Adaptive||posttest,43,2099,1104,554,550,0.5259647451167222
PSA7GUA||Non-Motivational vs. Motivational||posttest,43,1755,933,479,454,0.5316239316239316
PSA98J7||No Choice vs. Choice||posttest,43,2484,1342,672,670,0.5402576489533011
PSA98J7||Text Color_No_Choice vs. Text Color_Choice||posttest,43,2484,1327,676,651,0.534219001610306
PSA9XWV||Non-Motivational vs. Motivational||posttest,43,531,271,98,173,0.5103578154425612
PSAGF4||No Feedback vs. Common Wrong Answer Feedback||problems to mastery,43,1758,896,463,433,0.5096700796359499
PSAH9CV||Non-Motivational vs. Motivational||problems to mastery,43,190,100,44,56,0.5263157894736842
PSAHQV||No Feedback vs. Common Wrong Answer Feedback||problems to mastery,43,5288,2859,1448,1411,0.5406580937972768
PSAKUSU||Non-Motivational vs. Motivational||problems to mastery,43,990,522,161,361,0.5272727272727272
PSAR5JG||Answer Only vs. Scaffolding||problem set correctness,43,358,208,68,140,0.5810055865921788
PSAR9Y9||Non-Adaptive vs. Adaptive||problems to mastery,43,1271,694,345,349,0.5460267505900865
PSARZX2||No Choice vs. Choice||problem set correctness,43,410,210,103,107,0.5121951219512195
PSARZX2||Problem Difficulty_No_Choice vs. Problem Difficulty_Choice||problem set correctness,43,410,199,88,111,0.4853658536585366
PSASA4B||Non-Adaptive vs. Adaptive||posttest,43,394,220,118,102,0.5583756345177665
PSASDZY||Non-Adaptive vs. Adaptive||problems to mastery,43,489,264,139,125,0.5398773006134969
PSASRKH||Answer Only vs. Hint||problems to mastery,43,233,121,48,73,0.51931330472103
PSASRKH||Answer Only vs. Scaffolding||problems to mastery,43,242,119,50,69,0.49173553719008267
PSATNB2||Answer Only vs. Scaffolding||problems to mastery,43,685,367,167,200,0.5357664233576642
PSATNB2||Answer Only vs. Video Scaffolding||problems to mastery,43,698,377,180,197,0.5401146131805158
PSATNB2||Scaffolding vs. Video Scaffolding||problems to mastery,43,709,402,205,197,0.5669957686882934
PSATNB2||Text vs. Video||problems to mastery,43,709,359,180,179,0.5063469675599436
PSATNCQ||Answer Only vs. Hint||problems to mastery,43,130,66,31,35,0.5076923076923077
PSATNCQ||Answer Only vs. Scaffolding||problems to mastery,43,122,76,35,41,0.6229508196721312
PSATZEJ||Hint vs. Video Hint||problems to mastery,43,1056,546,281,265,0.5170454545454546
PSATZEJ||No Choice vs. Choice||problems to mastery,43,2113,1104,574,530,0.522479886417416
PSATZEJ||Text vs. Video||problems to mastery,43,1056,561,273,288,0.53125
PSATZEJ||Video or Text_No_Choice vs. Video or Text_Choice||problems to mastery,43,2113,1087,556,531,0.5144344533838144
PSAU4JD||No Choice vs. Choice||problem set correctness,43,550,274,152,122,0.49818181818181817
PSAU4JD||Problem Difficulty_No_Choice vs. Problem Difficulty_Choice||problem set correctness,43,550,281,135,146,0.5109090909090909
PSAU6Y4||Answer Only vs. Example||problems to mastery,43,177,91,52,39,0.5141242937853108
PSAU6Y4||Answer Only vs. Hint||problems to mastery,43,194,106,52,54,0.5463917525773195
PSAU85Y||Answer Only vs. Example||problems to mastery,43,218,109,62,47,0.5
PSAU85Y||Answer Only vs. Scaffolding||problems to mastery,43,229,121,71,50,0.5283842794759825
PSAU88D||Answer Only vs. Hint||problems to mastery,43,261,134,66,68,0.5134099616858238
PSAU88D||Answer Only vs. Scaffolding||problems to mastery,43,285,154,75,79,0.5403508771929825
PSAU88D||Answer Only vs. Video Scaffolding||problems to mastery,43,263,146,67,79,0.5551330798479087
PSAU88D||Scaffolding vs. Video Scaffolding||problems to mastery,43,298,161,86,75,0.540268456375839
PSAU88D||Text vs. Video||problems to mastery,43,298,172,90,82,0.5771812080536913
PSAUK57||Answer Only vs. Example||problems to mastery,43,370,181,92,89,0.4891891891891892
PSAUK57||Answer Only vs. Hint||problems to mastery,43,374,207,109,98,0.553475935828877
PSAUK57||Answer Only vs. Video Example||problems to mastery,43,366,204,109,95,0.5573770491803278
PSAUK57||Example vs. Video Example||problems to mastery,43,358,192,97,95,0.5363128491620112
PSAUK57||Text vs. Video||problems to mastery,43,358,205,94,111,0.5726256983240223
PSAUKPM||Non-Adaptive vs. Adaptive||problems to mastery,43,368,211,104,107,0.5733695652173914
PSAUTWT||2 PTM vs. 3 PTM||completion,43,355,181,87,94,0.5098591549295775
PSAUTWT||2 PTM vs. 4 PTM||completion,43,325,164,97,67,0.5046153846153846
PSAUTWT||3 PTM vs. 4 PTM||completion,43,330,176,97,79,0.5333333333333333
PSAUTWT||No Choice vs. Choice||completion,43,1013,518,275,243,0.5113524185587365
PSAUTWT||Problems Required for Mastery_No_Choice vs. Problems Required for Mastery_Choice||completion,43,1013,491,263,228,0.4846989141164857
PSAUTWU||No Choice vs. Choice||problem set correctness,43,1008,527,274,253,0.5228174603174603
PSAUTWU||Problem Difficulty_No_Choice vs. Problem Difficulty_Choice||problem set correctness,43,1008,505,286,219,0.5009920634920635
PSAUUKY||No Choice vs. Choice||problem set correctness,43,1500,781,380,401,0.5206666666666667
PSAUUKY||Problem Difficulty_No_Choice vs. Problem Difficulty_Choice||problem set correctness,43,1500,793,398,395,0.5286666666666666
PSAV89B||Non-Motivational vs. Motivational||problems to mastery,43,1722,875,301,574,0.508130081300813
PSAVTMK||2 PTM vs. 3 PTM||posttest,43,646,331,167,164,0.5123839009287926
PSAVTMK||2 PTM vs. 4 PTM||posttest,43,642,321,159,162,0.5
PSAVTMK||2 PTM vs. 5 PTM||posttest,43,655,345,179,166,0.5267175572519084
PSAVTMK||3 PTM vs. 4 PTM||posttest,43,620,334,170,164,0.5387096774193548
PSAVTMK||3 PTM vs. 5 PTM||posttest,43,633,352,172,180,0.5560821484992101
PSAVTMK||4 PTM vs. 5 PTM||posttest,43,629,351,186,165,0.5580286168521462
PSAWHF4||No Choice vs. Choice||problems to mastery,43,1148,607,311,296,0.5287456445993032
PSAWHF4||Video or Text_No_Choice vs. Video or Text_Choice||problems to mastery,43,1148,632,325,307,0.5505226480836237
PSAWU6Z||Non-Motivational vs. Motivational||problems to mastery,43,956,503,184,319,0.5261506276150628
PSAZGQM||2 PTM vs. 3 PTM||posttest,43,166,86,55,31,0.5180722891566265
PSAZGQM||2 PTM vs. 4 PTM||posttest,43,178,88,48,40,0.4943820224719101
PSAZGQM||2 PTM vs. 5 PTM||posttest,43,173,90,50,40,0.5202312138728323
PSAZGQM||3 PTM vs. 4 PTM||posttest,43,156,77,34,43,0.4935897435897436
PSAZGQM||3 PTM vs. 5 PTM||posttest,43,151,79,36,43,0.5231788079470199
PSAZGQM||4 PTM vs. 5 PTM||posttest,43,163,85,42,43,0.5214723926380368
PSA25TA||No Emotion vs. Emotion||posttest,44,841,463,119,344,0.5505350772889417
PSA29FC||No Emotion vs. Emotion||posttest,44,370,204,36,168,0.5513513513513514
PSA2KMP||Non-Adaptive vs. Adaptive||posttest,44,1982,980,521,459,0.4944500504540868
PSA2KMQ||Non-Adaptive vs. Adaptive||posttest,44,356,183,94,89,0.5140449438202247
PSA2KNM||Non-Motivational vs. Motivational||posttest,44,1433,721,250,471,0.5031402651779484
PSA2KNP||Non-Motivational vs. Motivational||posttest,44,397,209,74,135,0.5264483627204031
PSA2KNR||Non-Motivational vs. Motivational||posttest,44,2033,1056,547,509,0.5194294146581406
PSA2KPV||Non-Adaptive vs. Adaptive||posttest,44,749,415,200,215,0.5540720961281709
PSA2KQB||Non-Motivational vs. Motivational||posttest,44,319,183,92,91,0.5736677115987461
PSA52JK||Multiple Choice vs. Fill-In||posttest,44,2336,1218,651,567,0.521404109589041
PSA55VC||Multiple Choice vs. Fill-In||posttest,44,1721,885,441,444,0.5142359093550262
PSA59TP||3 PTM vs. 4 PTM||posttest,44,897,484,258,226,0.5395763656633222
PSA59TP||3 PTM vs. 5 PTM||posttest,44,874,470,255,215,0.5377574370709383
PSA59TP||4 PTM vs. 5 PTM||posttest,44,869,452,250,202,0.520138089758343
PSA59TP||No Choice vs. Choice||posttest,44,2563,1351,711,640,0.5271166601638705
PSA59TP||Problems Required for Mastery_No_Choice vs. Problems Required for Mastery_Choice||posttest,44,2563,1345,709,636,0.5247756535310183
PSA59TQ||Non-Motivational vs. Motivational||posttest,44,1781,916,479,437,0.5143177989893318
PSA59VC||Non-Adaptive vs. Adaptive||posttest,44,2099,1082,554,528,0.5154835636017151
PSA7GUA||Non-Motivational vs. Motivational||posttest,44,1755,929,476,453,0.5293447293447293
PSA98J7||No Choice vs. Choice||posttest,44,2484,1293,654,639,0.5205314009661836
PSA98J7||Text Color_No_Choice vs. Text Color_Choice||posttest,44,2484,1282,674,608,0.5161030595813204
PSA9XWV||Non-Motivational vs. Motivational||posttest,44,531,265,89,176,0.4990583804143126
PSAGF4||No Feedback vs. Common Wrong Answer Feedback||problems to mastery,44,1758,938,489,449,0.5335608646188851
PSAH9CV||Non-Motivational vs. Motivational||problems to mastery,44,190,101,49,52,0.531578947368421
PSAHQV||No Feedback vs. Common Wrong Answer Feedback||problems to mastery,44,5288,2757,1434,1323,0.5213691376701967
PSAKUSU||Non-Motivational vs. Motivational||problems to mastery,44,990,490,153,337,0.494949494949495
PSAR5JG||Answer Only vs. Scaffolding||problem set correctness,44,358,187,58,129,0.5223463687150838
PSAR9Y9||Non-Adaptive vs. Adaptive||problems to mastery,44,1271,667,334,333,0.5247836349331235
PSARZX2||No Choice vs. Choice||problem set correctness,44,410,218,109,109,0.5317073170731708
PSARZX2||Problem Difficulty_No_Choice vs. Problem Difficulty_Choice||problem set correctness,44,410,217,105,112,0.5292682926829269
PSASA4B||Non-Adaptive vs. Adaptive||posttest,44,394,217,114,103,0.550761421319797
PSASDZY||Non-Adaptive vs. Adaptive||problems to mastery,44,489,253,141,112,0.5173824130879345
PSASRKH||Answer Only vs. Hint||problems to mastery,44,233,119,51,68,0.5107296137339056
PSASRKH||Answer Only vs. Scaffolding||problems to mastery,44,242,122,46,76,0.5041322314049587
PSATNB2||Answer Only vs. Scaffolding||problems to mastery,44,685,336,175,161,0.4905109489051095
PSATNB2||Answer Only vs. Video Scaffolding||problems to mastery,44,698,354,180,174,0.5071633237822349
PSATNB2||Scaffolding vs. Video Scaffolding||problems to mastery,44,709,384,206,178,0.5416078984485191
PSATNB2||Text vs. Video||problems to mastery,44,709,361,187,174,0.5091678420310296
PSATNCQ||Answer Only vs. Hint||problems to mastery,44,130,68,37,31,0.5230769230769231
PSATNCQ||Answer Only vs. Scaffolding||problems to mastery,44,122,73,36,37,0.5983606557377049
PSATZEJ||Hint vs. Video Hint||problems to mastery,44,1056,556,288,268,0.5265151515151515
PSATZEJ||No Choice vs. Choice||problems to mastery,44,2113,1090,549,541,0.5158542356838618
PSATZEJ||Text vs. Video||problems to mastery,44,1056,557,284,273,0.5274621212121212
PSATZEJ||Video or Text_No_Choice vs. Video or Text_Choice||problems to mastery,44,2113,1080,536,544,0.5111216280170374
PSAU4JD||No Choice vs. Choice||problem set correctness,44,550,274,148,126,0.49818181818181817
PSAU4JD||Problem Difficulty_No_Choice vs. Problem Difficulty_Choice||problem set correctness,44,550,261,140,121,0.47454545454545455
PSAU6Y4||Answer Only vs. Example||problems to mastery,44,177,87,51,36,0.4915254237288136
PSAU6Y4||Answer Only vs. Hint||problems to mastery,44,194,92,53,39,0.4742268041237113
PSAU85Y||Answer Only vs. Example||problems to mastery,44,218,129,77,52,0.591743119266055
PSAU85Y||Answer Only vs. Scaffolding||problems to mastery,44,229,126,67,59,0.5502183406113537
PSAU88D||Answer Only vs. Hint||problems to mastery,44,261,130,71,59,0.49808429118773945
PSAU88D||Answer Only vs. Scaffolding||problems to mastery,44,285,147,69,78,0.5157894736842106
PSAU88D||Answer Only vs. Video Scaffolding||problems to mastery,44,263,134,65,69,0.5095057034220533
PSAU88D||Scaffolding vs. Video Scaffolding||problems to mastery,44,298,145,81,64,0.4865771812080537
PSAU88D||Text vs. Video||problems to mastery,44,298,157,91,66,0.5268456375838926
PSAUK57||Answer Only vs. Example||problems to mastery,44,370,192,94,98,0.518918918918919
PSAUK57||Answer Only vs. Hint||problems to mastery,44,374,191,100,91,0.5106951871657754
PSAUK57||Answer Only vs. Video Example||problems to mastery,44,366,180,92,88,0.4918032786885246
PSAUK57||Example vs. Video Example||problems to mastery,44,358,188,94,94,0.5251396648044693
PSAUK57||Text vs. Video||problems to mastery,44,358,184,97,87,0.5139664804469274
PSAUKPM||Non-Adaptive vs. Adaptive||problems to mastery,44,368,188,88,100,0.5108695652173914
PSAUTWT||2 PTM vs. 3 PTM||completion,44,355,176,95,81,0.49577464788732395
PSAUTWT||2 PTM vs. 4 PTM||completion,44,325,176,92,84,0.5415384615384615
PSAUTWT||3 PTM vs. 4 PTM||completion,44,330,153,85,68,0.4636363636363636
PSAUTWT||No Choice vs. Choice||completion,44,1013,522,277,245,0.5153010858835143
PSAUTWT||Problems Required for Mastery_No_Choice vs. Problems Required for Mastery_Choice||completion,44,1013,510,263,247,0.5034550839091807
PSAUTWU||No Choice vs. Choice||problem set correctness,44,1008,554,287,267,0.5496031746031746
PSAUTWU||Problem Difficulty_No_Choice vs. Problem Difficulty_Choice||problem set correctness,44,1008,511,263,248,0.5069444444444444
PSAUUKY||No Choice vs. Choice||problem set correctness,44,1500,773,396,377,0.5153333333333333
PSAUUKY||Problem Difficulty_No_Choice vs. Problem Difficulty_Choice||problem set correctness,44,1500,836,406,430,0.5573333333333333
PSAV89B||Non-Motivational vs. Motivational||problems to mastery,44,1722,840,281,559,0.4878048780487805
PSAVTMK||2 PTM vs. 3 PTM||posttest,44,646,355,189,166,0.5495356037151703
PSAVTMK||2 PTM vs. 4 PTM||posttest,44,642,343,181,162,0.5342679127725857
PSAVTMK||2 PTM vs. 5 PTM||posttest,44,655,355,178,177,0.5419847328244275
PSAVTMK||3 PTM vs. 4 PTM||posttest,44,620,332,178,154,0.535483870967742
PSAVTMK||3 PTM vs. 5 PTM||posttest,44,633,338,174,164,0.5339652448657188
PSAVTMK||4 PTM vs. 5 PTM||posttest,44,629,317,161,156,0.5039745627980922
PSAWHF4||No Choice vs. Choice||problems to mastery,44,1148,585,323,262,0.509581881533101
PSAWHF4||Video or Text_No_Choice vs. Video or Text_Choice||problems to mastery,44,1148,606,317,289,0.5278745644599303
PSAWU6Z||Non-Motivational vs. Motivational||problems to mastery,44,956,518,197,321,0.5418410041841004
PSAZGQM||2 PTM vs. 3 PTM||posttest,44,166,91,56,35,0.5481927710843374
PSAZGQM||2 PTM vs. 4 PTM||posttest,44,178,93,53,40,0.5224719101123596
PSAZGQM||2 PTM vs. 5 PTM||posttest,44,173,88,52,36,0.5086705202312138
PSAZGQM||3 PTM vs. 4 PTM||posttest,44,156,79,43,36,0.5064102564102564
PSAZGQM||3 PTM vs. 5 PTM||posttest,44,151,78,44,34,0.5165562913907285
PSAZGQM||4 PTM vs. 5 PTM||posttest,44,163,80,41,39,0.49079754601226994
